Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
03/07/2026 09:42:52,System.Runtime,CPU Usage (%),Metric,0
03/07/2026 09:42:53,System.Runtime,CPU Usage (%),Metric,0
03/07/2026 09:42:52,System.Runtime,Working Set (MB),Metric,404
03/07/2026 09:42:52,System.Runtime,GC Heap Size (MB),Metric,9
03/07/2026 09:42:52,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
03/07/2026 09:42:52,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
03/07/2026 09:42:52,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
03/07/2026 09:42:52,System.Runtime,ThreadPool Thread Count,Metric,34
03/07/2026 09:42:52,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
03/07/2026 09:42:52,System.Runtime,ThreadPool Queue Length,Metric,0
03/07/2026 09:42:52,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
03/07/2026 09:42:52,System.Runtime,Allocation Rate (B / 1 sec),Rate,114568
03/07/2026 09:42:52,System.Runtime,Number of Active Timers,Metric,3
03/07/2026 09:42:52,System.Runtime,GC Fragmentation (%),Metric,42.34443708328944
03/07/2026 09:42:52,System.Runtime,GC Committed Bytes (MB),Metric,316
03/07/2026 09:42:52,System.Runtime,Exception Count (Count / 1 sec),Rate,0
03/07/2026 09:42:52,System.Runtime,% Time in GC since last GC (%),Metric,90
03/07/2026 09:42:52,System.Runtime,Gen 0 Size (B),Metric,6858280
03/07/2026 09:42:52,System.Runtime,Gen 1 Size (B),Metric,192
03/07/2026 09:42:52,System.Runtime,Gen 2 Size (B),Metric,8362072
03/07/2026 09:42:52,System.Runtime,LOH Size (B),Metric,390272
03/07/2026 09:42:52,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,642672
03/07/2026 09:42:52,System.Runtime,Number of Assemblies Loaded,Metric,159
03/07/2026 09:42:52,System.Runtime,IL Bytes Jitted (B),Metric,1092807
03/07/2026 09:42:52,System.Runtime,Number of Methods Jitted,Metric,14771
03/07/2026 09:42:52,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0.646900000000187
03/07/2026 09:42:52,Microsoft.AspNetCore.Hosting,Request Rate (Count / 1 sec),Rate,0
03/07/2026 09:42:52,Microsoft.AspNetCore.Hosting,Total Requests,Metric,0
03/07/2026 09:42:52,Microsoft.AspNetCore.Hosting,Current Requests,Metric,0
03/07/2026 09:42:52,Microsoft.AspNetCore.Hosting,Failed Requests,Metric,0
03/07/2026 09:42:53,System.Runtime,Working Set (MB),Metric,405
03/07/2026 09:42:53,System.Runtime,GC Heap Size (MB),Metric,22
03/07/2026 09:42:53,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
03/07/2026 09:42:53,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
03/07/2026 09:42:53,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
03/07/2026 09:42:53,System.Runtime,ThreadPool Thread Count,Metric,34
03/07/2026 09:42:53,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,5
03/07/2026 09:42:53,System.Runtime,ThreadPool Queue Length,Metric,2
03/07/2026 09:42:53,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,517
03/07/2026 09:42:53,System.Runtime,Allocation Rate (B / 1 sec),Rate,12531784
03/07/2026 09:42:53,System.Runtime,Number of Active Timers,Metric,3
03/07/2026 09:42:53,System.Runtime,GC Fragmentation (%),Metric,42.34443708328944
03/07/2026 09:42:53,System.Runtime,GC Committed Bytes (MB),Metric,316
03/07/2026 09:42:53,System.Runtime,Exception Count (Count / 1 sec),Rate,0
03/07/2026 09:42:53,System.Runtime,% Time in GC since last GC (%),Metric,90
03/07/2026 09:42:53,System.Runtime,Gen 0 Size (B),Metric,6858280
03/07/2026 09:42:53,System.Runtime,Gen 1 Size (B),Metric,192
03/07/2026 09:42:53,System.Runtime,Gen 2 Size (B),Metric,8362072
03/07/2026 09:42:53,System.Runtime,LOH Size (B),Metric,390272
03/07/2026 09:42:53,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,642672
03/07/2026 09:42:53,System.Runtime,Number of Assemblies Loaded,Metric,159
03/07/2026 09:42:53,System.Runtime,IL Bytes Jitted (B),Metric,1093768
