Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
3/15/2026 1:31:55 PM,System.Runtime,CPU Usage (%),Metric,0
3/15/2026 1:31:57 PM,System.Runtime,CPU Usage (%),Metric,0
3/15/2026 1:31:55 PM,System.Runtime,Working Set (MB),Metric,502
3/15/2026 1:31:55 PM,System.Runtime,GC Heap Size (MB),Metric,9
3/15/2026 1:31:55 PM,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
3/15/2026 1:31:55 PM,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
3/15/2026 1:31:55 PM,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
3/15/2026 1:31:55 PM,System.Runtime,ThreadPool Thread Count,Metric,33
3/15/2026 1:31:55 PM,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
3/15/2026 1:31:55 PM,System.Runtime,ThreadPool Queue Length,Metric,0
3/15/2026 1:31:55 PM,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
3/15/2026 1:31:55 PM,System.Runtime,Allocation Rate (B / 1 sec),Rate,114440
3/15/2026 1:31:55 PM,System.Runtime,Number of Active Timers,Metric,3
3/15/2026 1:31:55 PM,System.Runtime,GC Fragmentation (%),Metric,64.21930830516659
3/15/2026 1:31:55 PM,System.Runtime,GC Committed Bytes (MB),Metric,409
3/15/2026 1:31:55 PM,System.Runtime,Exception Count (Count / 1 sec),Rate,0
3/15/2026 1:31:55 PM,System.Runtime,% Time in GC since last GC (%),Metric,82
3/15/2026 1:31:55 PM,System.Runtime,Gen 0 Size (B),Metric,17449928
3/15/2026 1:31:55 PM,System.Runtime,Gen 1 Size (B),Metric,384
3/15/2026 1:31:55 PM,System.Runtime,Gen 2 Size (B),Metric,8191328
3/15/2026 1:31:55 PM,System.Runtime,LOH Size (B),Metric,390464
3/15/2026 1:31:55 PM,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,476696
3/15/2026 1:31:55 PM,System.Runtime,Number of Assemblies Loaded,Metric,159
3/15/2026 1:31:55 PM,System.Runtime,IL Bytes Jitted (B),Metric,1168316
3/15/2026 1:31:55 PM,System.Runtime,Number of Methods Jitted,Metric,15730
3/15/2026 1:31:55 PM,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0.6331000000000131
3/15/2026 1:31:55 PM,Microsoft.AspNetCore.Hosting,Request Rate (Count / 1 sec),Rate,0
3/15/2026 1:31:55 PM,Microsoft.AspNetCore.Hosting,Total Requests,Metric,0
3/15/2026 1:31:55 PM,Microsoft.AspNetCore.Hosting,Current Requests,Metric,0
3/15/2026 1:31:55 PM,Microsoft.AspNetCore.Hosting,Failed Requests,Metric,0
3/15/2026 1:31:56 PM,System.Runtime,CPU Usage (%),Metric,0
3/15/2026 1:31:56 PM,System.Runtime,Working Set (MB),Metric,502
3/15/2026 1:31:56 PM,System.Runtime,GC Heap Size (MB),Metric,9
3/15/2026 1:31:56 PM,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
3/15/2026 1:31:56 PM,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
3/15/2026 1:31:56 PM,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
3/15/2026 1:31:56 PM,System.Runtime,ThreadPool Thread Count,Metric,33
3/15/2026 1:31:56 PM,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
3/15/2026 1:31:56 PM,System.Runtime,ThreadPool Queue Length,Metric,0
3/15/2026 1:31:56 PM,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
3/15/2026 1:31:56 PM,System.Runtime,Allocation Rate (B / 1 sec),Rate,0
3/15/2026 1:31:56 PM,System.Runtime,Number of Active Timers,Metric,3
3/15/2026 1:31:56 PM,System.Runtime,GC Fragmentation (%),Metric,64.21930830516659
3/15/2026 1:31:56 PM,System.Runtime,GC Committed Bytes (MB),Metric,409
3/15/2026 1:31:56 PM,System.Runtime,Exception Count (Count / 1 sec),Rate,0
3/15/2026 1:31:56 PM,System.Runtime,% Time in GC since last GC (%),Metric,82
3/15/2026 1:31:56 PM,System.Runtime,Gen 0 Size (B),Metric,17449928
3/15/2026 1:31:56 PM,System.Runtime,Gen 1 Size (B),Metric,384
3/15/2026 1:31:56 PM,System.Runtime,Gen 2 Size (B),Metric,8191328
3/15/2026 1:31:56 PM,System.Runtime,LOH Size (B),Metric,390464
3/15/2026 1:31:56 PM,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,476696
3/15/2026 1:31:56 PM,System.Runtime,Number of Assemblies Loaded,Metric,159
3/15/2026 1:31:56 PM,System.Runtime,IL Bytes Jitted (B),Metric,1168502
3/15/2026 1:31:56 PM,System.Runtime,Number of Methods Jitted,Metric,15733
3/15/2026 1:31:56 PM,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0.6559000000002015
3/15/2026 1:31:56 PM,Microsoft.AspNetCore.Hosting,Request Rate (Count / 1 sec),Rate,0
3/15/2026 1:31:56 PM,Microsoft.AspNetCore.Hosting,Total Requests,Metric,0
3/15/2026 1:31:56 PM,Microsoft.AspNetCore.Hosting,Current Requests,Metric,0
3/15/2026 1:31:56 PM,Microsoft.AspNetCore.Hosting,Failed Requests,Metric,0
3/15/2026 1:31:57 PM,System.Runtime,Working Set (MB),Metric,502
3/15/2026 1:31:57 PM,System.Runtime,GC Heap Size (MB),Metric,9
3/15/2026 1:31:57 PM,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
3/15/2026 1:31:57 PM,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
3/15/2026 1:31:57 PM,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
3/15/2026 1:31:57 PM,System.Runtime,ThreadPool Thread Count,Metric,33
3/15/2026 1:31:57 PM,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
3/15/2026 1:31:57 PM,System.Runtime,ThreadPool Queue Length,Metric,0
3/15/2026 1:31:57 PM,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
3/15/2026 1:31:57 PM,System.Runtime,Allocation Rate (B / 1 sec),Rate,8168
3/15/2026 1:31:57 PM,System.Runtime,Number of Active Timers,Metric,3
3/15/2026 1:31:57 PM,System.Runtime,GC Fragmentation (%),Metric,64.21930830516659
3/15/2026 1:31:57 PM,System.Runtime,GC Committed Bytes (MB),Metric,409
3/15/2026 1:31:57 PM,System.Runtime,Exception Count (Count / 1 sec),Rate,0
3/15/2026 1:31:57 PM,System.Runtime,% Time in GC since last GC (%),Metric,82
3/15/2026 1:31:57 PM,System.Runtime,Gen 0 Size (B),Metric,17449928
3/15/2026 1:31:57 PM,System.Runtime,Gen 1 Size (B),Metric,384
3/15/2026 1:31:57 PM,System.Runtime,Gen 2 Size (B),Metric,8191328
3/15/2026 1:31:57 PM,System.Runtime,LOH Size (B),Metric,390464
3/15/2026 1:31:57 PM,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,476696
3/15/2026 1:31:57 PM,System.Runtime,Number of Assemblies Loaded,Metric,159
3/15/2026 1:31:57 PM,System.Runtime,IL Bytes Jitted (B),Metric,1169785
3/15/2026 1:31:57 PM,System.Runtime,Number of Methods Jitted,Metric,15751
3/15/2026 1:31:57 PM,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,3.6024999999999636
3/15/2026 1:31:57 PM,Microsoft.AspNetCore.Hosting,Request Rate (Count / 1 sec),Rate,0
3/15/2026 1:31:57 PM,Microsoft.AspNetCore.Hosting,Total Requests,Metric,0
3/15/2026 1:31:57 PM,Microsoft.AspNetCore.Hosting,Current Requests,Metric,0
3/15/2026 1:31:57 PM,Microsoft.AspNetCore.Hosting,Failed Requests,Metric,0
3/15/2026 1:31:58 PM,System.Runtime,CPU Usage (%),Metric,0
3/15/2026 1:31:58 PM,System.Runtime,Working Set (MB),Metric,502
3/15/2026 1:31:58 PM,System.Runtime,GC Heap Size (MB),Metric,9
3/15/2026 1:31:58 PM,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
3/15/2026 1:31:58 PM,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
3/15/2026 1:31:58 PM,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
3/15/2026 1:31:58 PM,System.Runtime,ThreadPool Thread Count,Metric,31
3/15/2026 1:31:58 PM,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
3/15/2026 1:31:58 PM,System.Runtime,ThreadPool Queue Length,Metric,0
3/15/2026 1:31:58 PM,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
3/15/2026 1:31:58 PM,System.Runtime,Allocation Rate (B / 1 sec),Rate,16328
3/15/2026 1:31:58 PM,System.Runtime,Number of Active Timers,Metric,3
3/15/2026 1:31:58 PM,System.Runtime,GC Fragmentation (%),Metric,64.21930830516659
3/15/2026 1:31:58 PM,System.Runtime,GC Committed Bytes (MB),Metric,409
3/15/2026 1:31:58 PM,System.Runtime,Exception Count (Count / 1 sec),Rate,0
3/15/2026 1:31:58 PM,System.Runtime,% Time in GC since last GC (%),Metric,82
3/15/2026 1:31:58 PM,System.Runtime,Gen 0 Size (B),Metric,17449928
