Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
3/16/2026 11:16:20 AM,System.Runtime,CPU Usage (%),Metric,0
3/16/2026 11:16:21 AM,System.Runtime,CPU Usage (%),Metric,0
3/16/2026 11:16:21 AM,System.Runtime,Working Set (MB),Metric,433
3/16/2026 11:16:21 AM,System.Runtime,GC Heap Size (MB),Metric,9
3/16/2026 11:16:21 AM,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
3/16/2026 11:16:21 AM,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
3/16/2026 11:16:21 AM,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
3/16/2026 11:16:21 AM,System.Runtime,ThreadPool Thread Count,Metric,37
3/16/2026 11:16:21 AM,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
3/16/2026 11:16:21 AM,System.Runtime,ThreadPool Queue Length,Metric,0
3/16/2026 11:16:21 AM,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
3/16/2026 11:16:21 AM,System.Runtime,Allocation Rate (B / 1 sec),Rate,0
3/16/2026 11:16:21 AM,System.Runtime,Number of Active Timers,Metric,3
3/16/2026 11:16:21 AM,System.Runtime,GC Fragmentation (%),Metric,62.83024480703413
3/16/2026 11:16:21 AM,System.Runtime,GC Committed Bytes (MB),Metric,329
3/16/2026 11:16:21 AM,System.Runtime,Exception Count (Count / 1 sec),Rate,0
3/16/2026 11:16:21 AM,System.Runtime,% Time in GC since last GC (%),Metric,19
3/16/2026 11:16:21 AM,System.Runtime,Gen 0 Size (B),Metric,16164800
3/16/2026 11:16:21 AM,System.Runtime,Gen 1 Size (B),Metric,384
3/16/2026 11:16:21 AM,System.Runtime,Gen 2 Size (B),Metric,8722096
3/16/2026 11:16:21 AM,System.Runtime,LOH Size (B),Metric,390464
3/16/2026 11:16:21 AM,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,485568
3/16/2026 11:16:21 AM,System.Runtime,Number of Assemblies Loaded,Metric,159
3/16/2026 11:16:21 AM,System.Runtime,IL Bytes Jitted (B),Metric,1177779
3/16/2026 11:16:21 AM,System.Runtime,Number of Methods Jitted,Metric,15866
3/16/2026 11:16:21 AM,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0.6916999999998552
3/16/2026 11:16:21 AM,Microsoft.AspNetCore.Hosting,Request Rate (Count / 1 sec),Rate,0
3/16/2026 11:16:21 AM,Microsoft.AspNetCore.Hosting,Total Requests,Metric,0
3/16/2026 11:16:21 AM,Microsoft.AspNetCore.Hosting,Current Requests,Metric,0
3/16/2026 11:16:21 AM,Microsoft.AspNetCore.Hosting,Failed Requests,Metric,0
3/16/2026 11:16:22 AM,System.Runtime,CPU Usage (%),Metric,0
3/16/2026 11:16:20 AM,System.Runtime,Working Set (MB),Metric,433
3/16/2026 11:16:20 AM,System.Runtime,GC Heap Size (MB),Metric,9
3/16/2026 11:16:20 AM,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
3/16/2026 11:16:20 AM,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
3/16/2026 11:16:20 AM,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
3/16/2026 11:16:20 AM,System.Runtime,ThreadPool Thread Count,Metric,37
3/16/2026 11:16:20 AM,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
3/16/2026 11:16:20 AM,System.Runtime,ThreadPool Queue Length,Metric,0
3/16/2026 11:16:20 AM,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
3/16/2026 11:16:20 AM,System.Runtime,Allocation Rate (B / 1 sec),Rate,106360
3/16/2026 11:16:20 AM,System.Runtime,Number of Active Timers,Metric,3
3/16/2026 11:16:20 AM,System.Runtime,GC Fragmentation (%),Metric,62.83024480703413
3/16/2026 11:16:20 AM,System.Runtime,GC Committed Bytes (MB),Metric,329
3/16/2026 11:16:20 AM,System.Runtime,Exception Count (Count / 1 sec),Rate,0
3/16/2026 11:16:20 AM,System.Runtime,% Time in GC since last GC (%),Metric,19
3/16/2026 11:16:20 AM,System.Runtime,Gen 0 Size (B),Metric,16164800
3/16/2026 11:16:20 AM,System.Runtime,Gen 1 Size (B),Metric,384
3/16/2026 11:16:20 AM,System.Runtime,Gen 2 Size (B),Metric,8722096
3/16/2026 11:16:20 AM,System.Runtime,LOH Size (B),Metric,390464
3/16/2026 11:16:20 AM,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,485568
3/16/2026 11:16:20 AM,System.Runtime,Number of Assemblies Loaded,Metric,159
3/16/2026 11:16:20 AM,System.Runtime,IL Bytes Jitted (B),Metric,1177593
3/16/2026 11:16:20 AM,System.Runtime,Number of Methods Jitted,Metric,15863
3/16/2026 11:16:20 AM,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
3/16/2026 11:16:20 AM,Microsoft.AspNetCore.Hosting,Request Rate (Count / 1 sec),Rate,0
3/16/2026 11:16:20 AM,Microsoft.AspNetCore.Hosting,Total Requests,Metric,0
3/16/2026 11:16:20 AM,Microsoft.AspNetCore.Hosting,Current Requests,Metric,0
3/16/2026 11:16:20 AM,Microsoft.AspNetCore.Hosting,Failed Requests,Metric,0
3/16/2026 11:16:22 AM,System.Runtime,Working Set (MB),Metric,433
3/16/2026 11:16:22 AM,System.Runtime,GC Heap Size (MB),Metric,9
3/16/2026 11:16:22 AM,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
3/16/2026 11:16:22 AM,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
3/16/2026 11:16:22 AM,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
3/16/2026 11:16:22 AM,System.Runtime,ThreadPool Thread Count,Metric,36
3/16/2026 11:16:22 AM,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
