Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
3/16/2026 11:49:02 PM,System.Runtime,CPU Usage (%),Metric,0
3/16/2026 11:49:02 PM,System.Runtime,Working Set (MB),Metric,422
3/16/2026 11:49:02 PM,System.Runtime,GC Heap Size (MB),Metric,9
3/16/2026 11:49:02 PM,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
3/16/2026 11:49:02 PM,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
3/16/2026 11:49:02 PM,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
3/16/2026 11:49:02 PM,System.Runtime,ThreadPool Thread Count,Metric,32
3/16/2026 11:49:02 PM,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
3/16/2026 11:49:02 PM,System.Runtime,ThreadPool Queue Length,Metric,0
3/16/2026 11:49:02 PM,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
3/16/2026 11:49:02 PM,System.Runtime,Allocation Rate (B / 1 sec),Rate,106360
3/16/2026 11:49:02 PM,System.Runtime,Number of Active Timers,Metric,3
3/16/2026 11:49:02 PM,System.Runtime,GC Fragmentation (%),Metric,64.9144053422203
3/16/2026 11:49:02 PM,System.Runtime,GC Committed Bytes (MB),Metric,320
3/16/2026 11:49:02 PM,System.Runtime,Exception Count (Count / 1 sec),Rate,0
3/16/2026 11:49:02 PM,System.Runtime,% Time in GC since last GC (%),Metric,86
3/16/2026 11:49:02 PM,System.Runtime,Gen 0 Size (B),Metric,17894000
3/16/2026 11:49:02 PM,System.Runtime,Gen 1 Size (B),Metric,384
3/16/2026 11:49:02 PM,System.Runtime,Gen 2 Size (B),Metric,8067856
3/16/2026 11:49:02 PM,System.Runtime,LOH Size (B),Metric,390464
3/16/2026 11:49:02 PM,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,427472
3/16/2026 11:49:02 PM,System.Runtime,Number of Assemblies Loaded,Metric,159
3/16/2026 11:49:02 PM,System.Runtime,IL Bytes Jitted (B),Metric,1148138
3/16/2026 11:49:02 PM,System.Runtime,Number of Methods Jitted,Metric,15522
3/16/2026 11:49:02 PM,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0.5311000000001513
3/16/2026 11:49:02 PM,Microsoft.AspNetCore.Hosting,Request Rate (Count / 1 sec),Rate,0
3/16/2026 11:49:02 PM,Microsoft.AspNetCore.Hosting,Total Requests,Metric,0
3/16/2026 11:49:02 PM,Microsoft.AspNetCore.Hosting,Current Requests,Metric,0
3/16/2026 11:49:02 PM,Microsoft.AspNetCore.Hosting,Failed Requests,Metric,0
3/16/2026 11:49:03 PM,System.Runtime,CPU Usage (%),Metric,0
3/16/2026 11:49:04 PM,System.Runtime,CPU Usage (%),Metric,0
3/16/2026 11:49:03 PM,System.Runtime,Working Set (MB),Metric,422
3/16/2026 11:49:03 PM,System.Runtime,GC Heap Size (MB),Metric,9
3/16/2026 11:49:03 PM,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
3/16/2026 11:49:03 PM,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
3/16/2026 11:49:03 PM,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
3/16/2026 11:49:03 PM,System.Runtime,ThreadPool Thread Count,Metric,32
3/16/2026 11:49:03 PM,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
3/16/2026 11:49:03 PM,System.Runtime,ThreadPool Queue Length,Metric,0
3/16/2026 11:49:03 PM,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
3/16/2026 11:49:03 PM,System.Runtime,Allocation Rate (B / 1 sec),Rate,0
3/16/2026 11:49:03 PM,System.Runtime,Number of Active Timers,Metric,3
3/16/2026 11:49:03 PM,System.Runtime,GC Fragmentation (%),Metric,64.9144053422203
3/16/2026 11:49:03 PM,System.Runtime,GC Committed Bytes (MB),Metric,320
3/16/2026 11:49:03 PM,System.Runtime,Exception Count (Count / 1 sec),Rate,0
3/16/2026 11:49:03 PM,System.Runtime,% Time in GC since last GC (%),Metric,86
3/16/2026 11:49:03 PM,System.Runtime,Gen 0 Size (B),Metric,17894000
3/16/2026 11:49:03 PM,System.Runtime,Gen 1 Size (B),Metric,384
3/16/2026 11:49:03 PM,System.Runtime,Gen 2 Size (B),Metric,8067856
3/16/2026 11:49:03 PM,System.Runtime,LOH Size (B),Metric,390464
3/16/2026 11:49:03 PM,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,427472
3/16/2026 11:49:03 PM,System.Runtime,Number of Assemblies Loaded,Metric,159
3/16/2026 11:49:03 PM,System.Runtime,IL Bytes Jitted (B),Metric,1148260
3/16/2026 11:49:03 PM,System.Runtime,Number of Methods Jitted,Metric,15524
3/16/2026 11:49:03 PM,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0.45499999999992724
3/16/2026 11:49:03 PM,Microsoft.AspNetCore.Hosting,Request Rate (Count / 1 sec),Rate,0
3/16/2026 11:49:03 PM,Microsoft.AspNetCore.Hosting,Total Requests,Metric,0
3/16/2026 11:49:03 PM,Microsoft.AspNetCore.Hosting,Current Requests,Metric,0
3/16/2026 11:49:03 PM,Microsoft.AspNetCore.Hosting,Failed Requests,Metric,0
3/16/2026 11:49:04 PM,System.Runtime,Working Set (MB),Metric,422
3/16/2026 11:49:04 PM,System.Runtime,GC Heap Size (MB),Metric,9
3/16/2026 11:49:04 PM,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
3/16/2026 11:49:04 PM,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
3/16/2026 11:49:04 PM,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
3/16/2026 11:49:04 PM,System.Runtime,ThreadPool Thread Count,Metric,31
3/16/2026 11:49:04 PM,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
3/16/2026 11:49:04 PM,System.Runtime,ThreadPool Queue Length,Metric,0
3/16/2026 11:49:04 PM,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
3/16/2026 11:49:04 PM,System.Runtime,Allocation Rate (B / 1 sec),Rate,8168
3/16/2026 11:49:04 PM,System.Runtime,Number of Active Timers,Metric,3
3/16/2026 11:49:04 PM,System.Runtime,GC Fragmentation (%),Metric,64.9144053422203
3/16/2026 11:49:04 PM,System.Runtime,GC Committed Bytes (MB),Metric,320
3/16/2026 11:49:04 PM,System.Runtime,Exception Count (Count / 1 sec),Rate,0
3/16/2026 11:49:04 PM,System.Runtime,% Time in GC since last GC (%),Metric,86
3/16/2026 11:49:04 PM,System.Runtime,Gen 0 Size (B),Metric,17894000
