Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
3/15/2026 6:44:08 AM,System.Runtime,CPU Usage (%),Metric,0
3/15/2026 6:44:09 AM,System.Runtime,CPU Usage (%),Metric,0
3/15/2026 6:44:09 AM,System.Runtime,Working Set (MB),Metric,464
3/15/2026 6:44:09 AM,System.Runtime,GC Heap Size (MB),Metric,9
3/15/2026 6:44:09 AM,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
3/15/2026 6:44:09 AM,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
3/15/2026 6:44:09 AM,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
3/15/2026 6:44:09 AM,System.Runtime,ThreadPool Thread Count,Metric,30
3/15/2026 6:44:09 AM,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
3/15/2026 6:44:09 AM,System.Runtime,ThreadPool Queue Length,Metric,0
3/15/2026 6:44:09 AM,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
3/15/2026 6:44:09 AM,System.Runtime,Allocation Rate (B / 1 sec),Rate,0
3/15/2026 6:44:09 AM,System.Runtime,Number of Active Timers,Metric,3
3/15/2026 6:44:09 AM,System.Runtime,GC Fragmentation (%),Metric,66.20326394968846
3/15/2026 6:44:09 AM,System.Runtime,GC Committed Bytes (MB),Metric,371
3/15/2026 6:44:09 AM,System.Runtime,Exception Count (Count / 1 sec),Rate,0
3/15/2026 6:44:09 AM,System.Runtime,% Time in GC since last GC (%),Metric,26
3/15/2026 6:44:09 AM,System.Runtime,Gen 0 Size (B),Metric,19406200
3/15/2026 6:44:09 AM,System.Runtime,Gen 1 Size (B),Metric,384
3/15/2026 6:44:09 AM,System.Runtime,Gen 2 Size (B),Metric,7832360
3/15/2026 6:44:09 AM,System.Runtime,LOH Size (B),Metric,390464
3/15/2026 6:44:09 AM,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,559752
3/15/2026 6:44:09 AM,System.Runtime,Number of Assemblies Loaded,Metric,159
3/15/2026 6:44:09 AM,System.Runtime,IL Bytes Jitted (B),Metric,1163821
3/15/2026 6:44:09 AM,System.Runtime,Number of Methods Jitted,Metric,15672
3/15/2026 6:44:09 AM,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,1.0927999999998974
3/15/2026 6:44:09 AM,Microsoft.AspNetCore.Hosting,Request Rate (Count / 1 sec),Rate,0
3/15/2026 6:44:09 AM,Microsoft.AspNetCore.Hosting,Total Requests,Metric,0
3/15/2026 6:44:09 AM,Microsoft.AspNetCore.Hosting,Current Requests,Metric,0
3/15/2026 6:44:09 AM,Microsoft.AspNetCore.Hosting,Failed Requests,Metric,0
3/15/2026 6:44:10 AM,System.Runtime,CPU Usage (%),Metric,0
3/15/2026 6:44:08 AM,System.Runtime,Working Set (MB),Metric,464
3/15/2026 6:44:08 AM,System.Runtime,GC Heap Size (MB),Metric,9
3/15/2026 6:44:08 AM,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
3/15/2026 6:44:08 AM,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
3/15/2026 6:44:08 AM,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
3/15/2026 6:44:08 AM,System.Runtime,ThreadPool Thread Count,Metric,30
3/15/2026 6:44:08 AM,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
3/15/2026 6:44:08 AM,System.Runtime,ThreadPool Queue Length,Metric,0
3/15/2026 6:44:08 AM,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
3/15/2026 6:44:08 AM,System.Runtime,Allocation Rate (B / 1 sec),Rate,114008
3/15/2026 6:44:08 AM,System.Runtime,Number of Active Timers,Metric,3
3/15/2026 6:44:08 AM,System.Runtime,GC Fragmentation (%),Metric,66.20326394968846
3/15/2026 6:44:08 AM,System.Runtime,GC Committed Bytes (MB),Metric,371
3/15/2026 6:44:08 AM,System.Runtime,Exception Count (Count / 1 sec),Rate,0
3/15/2026 6:44:08 AM,System.Runtime,% Time in GC since last GC (%),Metric,26
3/15/2026 6:44:08 AM,System.Runtime,Gen 0 Size (B),Metric,19406200
3/15/2026 6:44:08 AM,System.Runtime,Gen 1 Size (B),Metric,384
